Ime;Japonsko ime;Klasifikacija;Napad;Obramba;Višina (m);Masa (kg);HP;Hitrost;Tip 1;Tip 2;Generacija;Legendaren
Bulbasaur;Fushigidaneフシギダネ;Seed Pokémon;49;49;0,7;6,9;45;45;grass;poison;1;0
Ivysaur;Fushigisouフシギソウ;Seed Pokémon;62;63;1,0;13,0;60;60;grass;poison;1;0
Venusaur;Fushigibanaフシギバナ;Seed Pokémon;100;123;2,0;100,0;80;80;grass;poison;1;0
Charmander;Hitokageヒトカゲ;Lizard Pokémon;52;43;0,6;8,5;39;65;fire;;1;0
Charmeleon;Lizardoリザード;Flame Pokémon;64;58;1,1;19,0;58;80;fire;;1;0
Charizard;Lizardonリザードン;Flame Pokémon;104;78;1,7;90,5;78;100;fire;flying;1;0
Squirtle;Zenigameゼニガメ;Tiny Turtle Pokémon;48;65;0,5;9,0;44;43;water;;1;0
Wartortle;Kameilカメール;Turtle Pokémon;63;80;1,0;22,5;59;58;water;;1;0
Blastoise;Kamexカメックス;Shellfish Pokémon;103;120;1,6;85,5;79;78;water;;1;0
Caterpie;Caterpieキャタピー;Worm Pokémon;30;35;0,3;2,9;45;45;bug;;1;0
Metapod;Transelトランセル;Cocoon Pokémon;20;55;0,7;9,9;50;30;bug;;1;0
Butterfree;Butterfreeバタフリー;Butterfly Pokémon;45;50;1,1;32,0;60;70;bug;flying;1;0
Weedle;Beedleビードル;Hairy Pokémon;35;30;0,3;3,2;40;50;bug;poison;1;0
Kakuna;Cocoonコクーン;Cocoon Pokémon;25;50;0,6;10,0;45;35;bug;poison;1;0
Beedrill;Spearスピアー;Poison Bee Pokémon;150;40;1,0;29,5;65;145;bug;poison;1;0
Pidgey;Poppoポッポ;Tiny Bird Pokémon;45;40;0,3;1,8;40;56;normal;flying;1;0
Pidgeotto;Pigeonピジョン;Bird Pokémon;60;55;1,1;30,0;63;71;normal;flying;1;0
Pidgeot;Pigeotピジョット;Bird Pokémon;80;80;1,5;39,5;83;121;normal;flying;1;0
Rattata;Korattaコラッタ;Mouse Pokémon;56;35;;;30;72;normal;dark;1;0
Raticate;Rattaラッタ;Mouse Pokémon;71;70;;;75;77;normal;dark;1;0
Spearow;Onisuzumeオニスズメ;Tiny Bird Pokémon;60;30;0,3;2,0;40;70;normal;flying;1;0
Fearow;Onidrillオニドリル;Beak Pokémon;90;65;1,2;38,0;65;100;normal;flying;1;0
Ekans;Arboアーボ;Snake Pokémon;60;44;2,0;6,9;35;55;poison;;1;0
Arbok;Arbokアーボック;Cobra Pokémon;95;69;3,5;65,0;60;80;poison;;1;0
Pikachu;Pikachuピカチュウ;Mouse Pokémon;55;40;0,4;6,0;35;90;electric;;1;0
Raichu;Raichuライチュウ;Mouse Pokémon;85;50;;;60;110;electric;electric;1;0
Sandshrew;Sandサンド;Mouse Pokémon;75;90;;;50;40;ground;ice;1;0
Sandslash;Sandpanサンドパン;Mouse Pokémon;100;120;;;75;65;ground;ice;1;0
Nidoran♀;Nidoran?ニドラン♀;Poison Pin Pokémon;47;52;0,4;7,0;55;41;poison;;1;0
Nidorina;Nidorinaニドリーナ;Poison Pin Pokémon;62;67;0,8;20,0;70;56;poison;;1;0
Nidoqueen;Nidoqueenニドクイン;Drill Pokémon;92;87;1,3;60,0;90;76;poison;ground;1;0
Nidoran♂;Nidoran?ニドラン♂;Poison Pin Pokémon;57;40;0,5;9,0;46;50;poison;;1;0
Nidorino;Nidorinoニドリーノ;Poison Pin Pokémon;72;57;0,9;19,5;61;65;poison;;1;0
Nidoking;Nidokingニドキング;Drill Pokémon;102;77;1,4;62,0;81;85;poison;ground;1;0
Clefairy;Pippiピッピ;Fairy Pokémon;45;48;0,6;7,5;70;35;fairy;;1;0
Clefable;Pixyピクシー;Fairy Pokémon;70;73;1,3;40,0;95;60;fairy;;1;0
Vulpix;Rokonロコン;Fox Pokémon;41;40;;;38;65;fire;ice;1;0
Ninetales;Kyukonキュウコン;Fox Pokémon;67;75;;;73;109;fire;ice;1;0
Jigglypuff;Purinプリン;Balloon Pokémon;45;20;0,5;5,5;115;20;normal;fairy;1;0
Wigglytuff;Pukurinプクリン;Balloon Pokémon;70;45;1,0;12,0;140;45;normal;fairy;1;0
Zubat;Zubatズバット;Bat Pokémon;45;35;0,8;7,5;40;55;poison;flying;1;0
Golbat;Golbatゴルバット;Bat Pokémon;80;70;1,6;55,0;75;90;poison;flying;1;0
Oddish;Nazonokusaナゾノクサ;Weed Pokémon;50;55;0,5;5,4;45;30;grass;poison;1;0
Gloom;Kusaihanaクサイハナ;Weed Pokémon;65;70;0,8;8,6;60;40;grass;poison;1;0
Vileplume;Ruffresiaラフレシア;Flower Pokémon;80;85;1,2;18,6;75;50;grass;poison;1;0
Paras;Parasパラス;Mushroom Pokémon;70;55;0,3;5,4;35;25;bug;grass;1;0
Parasect;Parasectパラセクト;Mushroom Pokémon;95;80;1,0;29,5;60;30;bug;grass;1;0
Venonat;Kongpangコンパン;Insect Pokémon;55;50;1,0;30,0;60;45;bug;poison;1;0
Venomoth;Morphonモルフォン;Poison Moth Pokémon;65;60;1,5;12,5;70;90;bug;poison;1;0
Diglett;Digdaディグダ;Mole Pokémon;55;30;;;10;90;ground;ground;1;0
Dugtrio;Dugtrioダグトリオ;Mole Pokémon;100;60;;;35;110;ground;ground;1;0
Meowth;Nyarthニャース;Scratch Cat Pokémon;35;35;;;40;90;normal;dark;1;0
Persian;Persianペルシアン;Classy Cat Pokémon;60;60;;;65;115;normal;dark;1;0
Psyduck;Koduckコダック;Duck Pokémon;52;48;0,8;19,6;50;55;water;;1;0
Golduck;Golduckゴルダック;Duck Pokémon;82;78;1,7;76,6;80;85;water;;1;0
Mankey;Mankeyマンキー;Pig Monkey Pokémon;80;35;0,5;28,0;40;70;fighting;;1;0
Primeape;Okorizaruオコリザル;Pig Monkey Pokémon;105;60;1,0;32,0;65;95;fighting;;1;0
Growlithe;Gardieガーディ;Puppy Pokémon;70;45;0,7;19,0;55;60;fire;;1;0
Arcanine;Windieウインディ;Legendary Pokémon;110;80;1,9;155,0;90;95;fire;;1;0
Poliwag;Nyoromoニョロモ;Tadpole Pokémon;50;40;0,6;12,4;40;90;water;;1;0
Poliwhirl;Nyorozoニョロゾ;Tadpole Pokémon;65;65;1,0;20,0;65;90;water;;1;0
Poliwrath;Nyorobonニョロボン;Tadpole Pokémon;95;95;1,3;54,0;90;70;water;fighting;1;0
Abra;Caseyケーシィ;Psi Pokémon;20;15;0,9;19,5;25;90;psychic;;1;0
Kadabra;Yungererユンゲラー;Psi Pokémon;35;30;1,3;56,5;40;105;psychic;;1;0
Alakazam;Foodinフーディン;Psi Pokémon;50;65;1,5;48,0;55;150;psychic;;1;0
Machop;Wanrikyワンリキー;Superpower Pokémon;80;50;0,8;19,5;70;35;fighting;;1;0
Machoke;Gorikyゴーリキー;Superpower Pokémon;100;70;1,5;70,5;80;45;fighting;;1;0
Machamp;Kairikyカイリキー;Superpower Pokémon;130;80;1,6;130,0;90;55;fighting;;1;0
Bellsprout;Madatsubomiマダツボミ;Flower Pokémon;75;35;0,7;4,0;50;40;grass;poison;1;0
Weepinbell;Utsudonウツドン;Flycatcher Pokémon;90;50;1,0;6,4;65;55;grass;poison;1;0
Victreebel;Utsubotウツボット;Flycatcher Pokémon;105;65;1,7;15,5;80;70;grass;poison;1;0
Tentacool;Menokurageメノクラゲ;Jellyfish Pokémon;40;35;0,9;45,5;40;70;water;poison;1;0
Tentacruel;Dokukurageドククラゲ;Jellyfish Pokémon;70;65;1,6;55,0;80;100;water;poison;1;0
Geodude;Isitsubuteイシツブテ;Rock Pokémon;80;100;;;40;20;rock;ground;1;0
Graveler;Goloneゴローン;Rock Pokémon;95;115;;;55;35;rock;ground;1;0
Golem;Golonyaゴローニャ;Megaton Pokémon;120;130;;;80;45;rock;ground;1;0
Ponyta;Ponytaポニータ;Fire Horse Pokémon;85;55;1,0;30,0;50;90;fire;;1;0
Rapidash;Gallopギャロップ;Fire Horse Pokémon;100;70;1,7;95,0;65;105;fire;;1;0
Slowpoke;Yadonヤドン;Dopey Pokémon;65;65;1,2;36,0;90;15;water;psychic;1;0
Slowbro;Yadoranヤドラン;Hermit Crab Pokémon;75;180;1,6;78,5;95;30;water;psychic;1;0
Magnemite;Coilコイル;Magnet Pokémon;35;70;0,3;6,0;25;45;electric;steel;1;0
Magneton;Rarecoilレアコイル;Magnet Pokémon;60;95;1,0;60,0;50;70;electric;steel;1;0
Farfetch'd;Kamonegiカモネギ;Wild Duck Pokémon;90;55;0,8;15,0;52;60;normal;flying;1;0
Doduo;Dodoドードー;Twin Bird Pokémon;85;45;1,4;39,2;35;75;normal;flying;1;0
Dodrio;Dodorioドードリオ;Triple Bird Pokémon;110;70;1,8;85,2;60;110;normal;flying;1;0
Seel;Pawouパウワウ;Sea Lion Pokémon;45;55;1,1;90,0;65;45;water;;1;0
Dewgong;Jugonジュゴン;Sea Lion Pokémon;70;80;1,7;120,0;90;70;water;ice;1;0
Grimer;Betbeterベトベター;Sludge Pokémon;80;50;;;80;25;poison;poison;1;0
Muk;Betbetonベトベトン;Sludge Pokémon;105;75;;;105;50;poison;poison;1;0
Shellder;Shellderシェルダー;Bivalve Pokémon;65;100;0,3;4,0;30;40;water;;1;0
Cloyster;Parshenパルシェン;Bivalve Pokémon;95;180;1,5;132,5;50;70;water;ice;1;0
Gastly;Ghosゴース;Gas Pokémon;35;30;1,3;0,1;30;80;ghost;poison;1;0
Haunter;Ghostゴースト;Gas Pokémon;50;45;1,6;0,1;45;95;ghost;poison;1;0
Gengar;Gangarゲンガー;Shadow Pokémon;65;80;1,5;40,5;60;130;ghost;poison;1;0
Onix;Iwarkイワーク;Rock Snake Pokémon;45;160;8,8;210,0;35;70;rock;ground;1;0
Drowzee;Sleepeスリープ;Hypnosis Pokémon;48;45;1,0;32,4;60;42;psychic;;1;0
Hypno;Sleeperスリーパー;Hypnosis Pokémon;73;70;1,6;75,6;85;67;psychic;;1;0
Krabby;Crabクラブ;River Crab Pokémon;105;90;0,4;6,5;30;50;water;;1;0
Kingler;Kinglerキングラー;Pincer Pokémon;130;115;1,3;60,0;55;75;water;;1;0
Voltorb;Biriridamaビリリダマ;Ball Pokémon;30;50;0,5;10,4;40;100;electric;;1;0
Electrode;Marumineマルマイン;Ball Pokémon;50;70;1,2;66,6;60;150;electric;;1;0
Exeggcute;Tamatamaタマタマ;Egg Pokémon;40;80;0,4;2,5;60;40;grass;psychic;1;0
Exeggutor;Nassyナッシー;Coconut Pokémon;105;85;;;95;45;grass;psychic;1;0
Cubone;Karakaraカラカラ;Lonely Pokémon;50;95;0,4;6,5;50;35;ground;;1;0
Marowak;Garagaraガラガラ;Bone Keeper Pokémon;80;110;;;60;45;ground;fire;1;0
Hitmonlee;Sawamularサワムラー;Kicking Pokémon;120;53;1,5;49,8;50;87;fighting;;1;0
Hitmonchan;Ebiwalarエビワラー;Punching Pokémon;105;79;1,4;50,2;50;76;fighting;;1;0
Lickitung;Beroringaベロリンガ;Licking Pokémon;55;75;1,2;65,5;90;30;normal;;1;0
Koffing;Dogarsドガース;Poison Gas Pokémon;65;95;0,6;1,0;40;35;poison;;1;0
Weezing;Matadogasマタドガス;Poison Gas Pokémon;90;120;1,2;9,5;65;60;poison;;1;0
Rhyhorn;Sihornサイホーン;Spikes Pokémon;85;95;1,0;115,0;80;25;ground;rock;1;0
Rhydon;Sidonサイドン;Drill Pokémon;130;120;1,9;120,0;105;40;ground;rock;1;0
Chansey;Luckyラッキー;Egg Pokémon;5;5;1,1;34,6;250;50;normal;;1;0
Tangela;Monjaraモンジャラ;Vine Pokémon;55;115;1,0;35,0;65;60;grass;;1;0
Kangaskhan;Garuraガルーラ;Parent Pokémon;125;100;2,2;80,0;105;100;normal;;1;0
Horsea;Tattuタッツー;Dragon Pokémon;40;70;0,4;8,0;30;60;water;;1;0
Seadra;Seadraシードラ;Dragon Pokémon;65;95;1,2;25,0;55;85;water;;1;0
Goldeen;Tosakintoトサキント;Goldfish Pokémon;67;60;0,6;15,0;45;63;water;;1;0
Seaking;Azumaoアズマオウ;Goldfish Pokémon;92;65;1,3;39,0;80;68;water;;1;0
Staryu;Hitodemanヒトデマン;Starshape Pokémon;45;55;0,8;34,5;30;85;water;;1;0
Starmie;Starmieスターミー;Mysterious Pokémon;75;85;1,1;80,0;60;115;water;psychic;1;0
Mr, Mime;Barrierdバリヤード;Barrier Pokémon;45;65;1,3;54,5;40;90;psychic;fairy;1;0
Scyther;Strikeストライク;Mantis Pokémon;110;80;1,5;56,0;70;105;bug;flying;1;0
Jynx;Rougelaルージュラ;Humanshape Pokémon;50;35;1,4;40,6;65;95;ice;psychic;1;0
Electabuzz;Elebooエレブー;Electric Pokémon;83;57;1,1;30,0;65;105;electric;;1;0
Magmar;Booberブーバー;Spitfire Pokémon;95;57;1,3;44,5;65;93;fire;;1;0
Pinsir;Kailiosカイロス;Stagbeetle Pokémon;155;120;1,5;55,0;65;105;bug;;1;0
Tauros;Kentaurosケンタロス;Wild Bull Pokémon;100;95;1,4;88,4;75;110;normal;;1;0
Magikarp;Koikingコイキング;Fish Pokémon;10;55;0,9;10,0;20;80;water;;1;0
Gyarados;Gyaradosギャラドス;Atrocious Pokémon;155;109;6,5;235,0;95;81;water;flying;1;0
Lapras;Laplaceラプラス;Transport Pokémon;85;80;2,5;220,0;130;60;water;ice;1;0
Ditto;Metamonメタモン;Transform Pokémon;48;48;0,3;4,0;48;48;normal;;1;0
Eevee;Eievuiイーブイ;Evolution Pokémon;55;50;0,3;6,5;55;55;normal;;1;0
Vaporeon;Showersシャワーズ;Bubble Jet Pokémon;65;60;1,0;29,0;130;65;water;;1;0
Jolteon;Thundersサンダース;Lightning Pokémon;65;60;0,8;24,5;65;130;electric;;1;0
Flareon;Boosterブースター;Flame Pokémon;130;60;0,9;25,0;65;65;fire;;1;0
Porygon;Porygonポリゴン;Virtual Pokémon;60;70;0,8;36,5;65;40;normal;;1;0
Omanyte;Omniteオムナイト;Spiral Pokémon;40;100;0,4;7,5;35;35;rock;water;1;0
Omastar;Omstarオムスター;Spiral Pokémon;60;125;1,0;35,0;70;55;rock;water;1;0
Kabuto;Kabutoカブト;Shellfish Pokémon;80;90;0,5;11,5;30;55;rock;water;1;0
Kabutops;Kabutopsカブトプス;Shellfish Pokémon;115;105;1,3;40,5;60;80;rock;water;1;0
Aerodactyl;Pteraプテラ;Fossil Pokémon;135;85;1,8;59,0;80;150;rock;flying;1;0
Snorlax;Kabigonカビゴン;Sleeping Pokémon;110;65;2,1;460,0;160;30;normal;;1;0
Articuno;Freezerフリーザー;Freeze Pokémon;85;100;1,7;55,4;90;85;ice;flying;1;1
Zapdos;Thunderサンダー;Electric Pokémon;90;85;1,6;52,6;90;100;electric;flying;1;1
Moltres;Fireファイヤー;Flame Pokémon;100;90;2,0;60,0;90;90;fire;flying;1;1
Dratini;Miniryuミニリュウ;Dragon Pokémon;64;45;1,8;3,3;41;50;dragon;;1;0
Dragonair;Hakuryuハクリュー;Dragon Pokémon;84;65;4,0;16,5;61;70;dragon;;1;0
Dragonite;Kairyuカイリュー;Dragon Pokémon;134;95;2,2;210,0;91;80;dragon;flying;1;0
Mewtwo;Mewtwoミュウツー;Genetic Pokémon;150;70;2,0;122,0;106;140;psychic;;1;1
Mew;Mewミュウ;New Species Pokémon;100;100;0,4;4,0;100;100;psychic;;1;1
Chikorita;Chicoritaチコリータ;Leaf Pokémon;49;65;0,9;6,4;45;45;grass;;2;0
Bayleef;Bayleafベイリーフ;Leaf Pokémon;62;80;1,2;15,8;60;60;grass;;2;0
Meganium;Meganiumメガニウム;Herb Pokémon;82;100;1,8;100,5;80;80;grass;;2;0
Cyndaquil;Hinoarashiヒノアラシ;Fire Mouse Pokémon;52;43;0,5;7,9;39;65;fire;;2;0
Quilava;Magmarashiマグマラシ;Volcano Pokémon;64;58;0,9;19,0;58;80;fire;;2;0
Typhlosion;Bakphoonバクフーン;Volcano Pokémon;84;78;1,7;79,5;78;100;fire;;2;0
Totodile;Waninokoワニノコ;Big Jaw Pokémon;65;64;0,6;9,5;50;43;water;;2;0
Croconaw;Alligatesアリゲイツ;Big Jaw Pokémon;80;80;1,1;25,0;65;58;water;;2;0
Feraligatr;Ordileオーダイル;Big Jaw Pokémon;105;100;2,3;88,8;85;78;water;;2;0
Sentret;Otachiオタチ;Scout Pokémon;46;34;0,8;6,0;35;20;normal;;2;0
Furret;Ootachiオオタチ;Long Body Pokémon;76;64;1,8;32,5;85;90;normal;;2;0
Hoothoot;Hohoホーホー;Owl Pokémon;30;30;0,7;21,2;60;50;normal;flying;2;0
Noctowl;Yorunozukuヨルノズク;Owl Pokémon;50;50;1,6;40,8;100;70;normal;flying;2;0
Ledyba;Redibaレディバ;Five Star Pokémon;20;30;1,0;10,8;40;55;bug;flying;2;0
Ledian;Redianレディアン;Five Star Pokémon;35;50;1,4;35,6;55;85;bug;flying;2;0
Spinarak;Itomaruイトマル;String Spit Pokémon;60;40;0,5;8,5;40;30;bug;poison;2;0
Ariados;Ariadosアリアドス;Long Leg Pokémon;90;70;1,1;33,5;70;40;bug;poison;2;0
Crobat;Crobatクロバット;Bat Pokémon;90;80;1,8;75,0;85;130;poison;flying;2;0
Chinchou;Chonchieチョンチー;Angler Pokémon;38;38;0,5;12,0;75;67;water;electric;2;0
Lanturn;Lanternランターン;Light Pokémon;58;58;1,2;22,5;125;67;water;electric;2;0
Pichu;Pichuピチュー;Tiny Mouse Pokémon;40;15;0,3;2,0;20;60;electric;;2;0
Cleffa;Pyピィ;Star Shape Pokémon;25;28;0,3;3,0;50;15;fairy;;2;0
Igglybuff;Pupurinププリン;Balloon Pokémon;30;15;0,3;1,0;90;15;normal;fairy;2;0
Togepi;Togepyトゲピー;Spike Ball Pokémon;20;65;0,3;1,5;35;20;fairy;;2;0
Togetic;Togechickトゲチック;Happiness Pokémon;40;85;0,6;3,2;55;40;fairy;flying;2;0
Natu;Natyネイティ;Little Bird Pokémon;50;45;0,2;2,0;40;70;psychic;flying;2;0
Xatu;Natioネイティオ;Mystic Pokémon;75;70;1,5;15,0;65;95;psychic;flying;2;0
Mareep;Merriepメリープ;Wool Pokémon;40;40;0,6;7,8;55;35;electric;;2;0
Flaaffy;Mokokoモココ;Wool Pokémon;55;55;0,8;13,3;70;45;electric;;2;0
Ampharos;Denryuデンリュウ;Light Pokémon;95;105;1,4;61,5;90;45;electric;;2;0
Bellossom;Kireihanaキレイハナ;Flower Pokémon;80;95;0,4;5,8;75;50;grass;;2;0
Marill;Marilマリル;Aquamouse Pokémon;20;50;0,4;8,5;70;40;water;fairy;2;0
Azumarill;Marilliマリルリ;Aquarabbit Pokémon;50;80;0,8;28,5;100;50;water;fairy;2;0
Sudowoodo;Usokkieウソッキー;Imitation Pokémon;100;115;1,2;38,0;70;30;rock;;2;0
Politoed;Nyorotonoニョロトノ;Frog Pokémon;75;75;1,1;33,9;90;70;water;;2;0
Hoppip;Haneccoハネッコ;Cottonweed Pokémon;35;40;0,4;0,5;35;50;grass;flying;2;0
Skiploom;Popoccoポポッコ;Cottonweed Pokémon;45;50;0,6;1,0;55;80;grass;flying;2;0
Jumpluff;Wataccoワタッコ;Cottonweed Pokémon;55;70;0,8;3,0;75;110;grass;flying;2;0
Aipom;Eipamエイパム;Long Tail Pokémon;70;55;0,8;11,5;55;85;normal;;2;0
Sunkern;Himanutsヒマナッツ;Seed Pokémon;30;30;0,3;1,8;30;30;grass;;2;0
Sunflora;Kimawariキマワリ;Sun Pokémon;75;55;0,8;8,5;75;30;grass;;2;0
Yanma;Yanyanmaヤンヤンマ;Clear Wing Pokémon;65;45;1,2;38,0;65;95;bug;flying;2;0
Wooper;Upahウパー;Water Fish Pokémon;45;45;0,4;8,5;55;15;water;ground;2;0
Quagsire;Nuohヌオー;Water Fish Pokémon;85;85;1,4;75,0;95;35;water;ground;2;0
Espeon;Eifieエーフィ;Sun Pokémon;65;60;0,9;26,5;65;110;psychic;;2;0
Umbreon;Blackyブラッキー;Moonlight Pokémon;65;110;1,0;27,0;95;65;dark;;2;0
Murkrow;Yamikarasuヤミカラス;Darkness Pokémon;85;42;0,5;2,1;60;91;dark;flying;2;0
Slowking;Yadokingヤドキング;Royal Pokémon;75;80;2,0;79,5;95;30;water;psychic;2;0
Misdreavus;Mumaムウマ;Screech Pokémon;60;60;0,7;1,0;60;85;ghost;;2;0
Unown;Unknownアンノーン;Symbol Pokémon;72;48;0,5;5,0;48;48;psychic;;2;0
Wobbuffet;Sonansソーナンス;Patient Pokémon;33;58;1,3;28,5;190;33;psychic;;2;0
Girafarig;Kirinrikiキリンリキ;Long Neck Pokémon;80;65;1,5;41,5;70;85;normal;psychic;2;0
Pineco;Kunugidamaクヌギダマ;Bagworm Pokémon;65;90;0,6;7,2;50;15;bug;;2;0
Forretress;Foretosフォレトス;Bagworm Pokémon;90;140;1,2;125,8;75;40;bug;steel;2;0
